state;action_reward;n_state
682&1|304&3|1105&3|990&4|1394&5|288&1|690&4|270&1|1176&4|750&5|258&1|310&3;292&4|328&3|294&5|259&2;682&1|304&3|1105&3|990&4|1394&5|288&1|690&4|270&1|1176&4|750&5|258&1|310&3|292&4|328&3|294&5|259&2
568&4|97&4|1188&3|172&4|288&4|64&5|27&4|38&3|1090&2|71&4|89&4|227&4;58&3|155&2|145&3|1035&2;568&4|97&4|1188&3|172&4|288&4|64&5|27&4|38&3|1090&2|71&4|89&4|227&4|58&3|155&2|145&3|1035&2
288&4|323&4|149&3|328&5|682&4|895&3|300&4|286&4|313&5|295&4|678&3|258&3;123&2|276&3|222&3|181&4;288&4|323&4|149&3|328&5|682&4|895&3|300&4|286&4|313&5|295&4|678&3|258&3|123&2|276&3|222&3|181&4
294&1|286&4|268&2|276&4|269&5|683&3|116&2|292&2|285&4|306&5|332&3|515&5;301&3|322&3|995&1|309&1;294&1|286&4|268&2|276&4|269&5|683&3|116&2|292&2|285&4|306&5|332&3|515&5|301&3|322&3|995&1|309&1
4&1|1&5|496&5|15&5|237&5|86&5|596&4|97&1|283&4|83&5|241&1|82&2;993&4|477&5|251&5|164&2;4&1|1&5|496&5|15&5|237&5|86&5|596&4|97&1|283&4|83&5|241&1|82&2|993&4|477&5|251&5|164&2
195&4|50&5|496&4|137&2|294&4|886&3|79&4|748&3|56&4|22&4|168&4|1&4;69&4|318&4|273&3|152&4;195&4|50&5|496&4|137&2|294&4|886&3|79&4|748&3|56&4|22&4|168&4|1&4|69&4|318&4|273&3|152&4
95&3|631&3|824&2|748&2|96&4|1117&3|56&5|654&5|31&3|193&4|1245&4|470&3;942&4|636&3|367&3|385&3;95&3|631&3|824&2|748&2|96&4|1117&3|56&5|654&5|31&3|193&4|1245&4|470&3|942&4|636&3|367&3|385&3
559&3|1211&4|172&4|654&5|707&3|710&4|117&1|244&3|521&4|191&4|101&3|226&1;153&5|566&3|672&1|1404&2;559&3|1211&4|172&4|654&5|707&3|710&4|117&1|244&3|521&4|191&4|101&3|226&1|153&5|566&3|672&1|1404&2
181&3|756&2|50&3|275&5|127&4|25&5|281&3|255&2|269&3|220&2|280&2|1028&4;1190&2|225&2|1023&2|476&5;181&3|756&2|50&3|275&5|127&4|25&5|281&3|255&2|269&3|220&2|280&2|1028&4|1190&2|225&2|1023&2|476&5
134&3|86&3|531&4|478&2|186&3|651&3|205&4|482&3|172&3|492&4|1021&3|131&3;474&5|318&5|528&5|187&5;134&3|86&3|531&4|478&2|186&3|651&3|205&4|482&3|172&3|492&4|1021&3|131&3|474&5|318&5|528&5|187&5
258&3|322&3|873&2|319&3|271&2|748&3|938&1|300&4|286&5|288&4|294&4|326&3;1038&4|289&4|302&5|242&4;258&3|322&3|873&2|319&3|271&2|748&3|938&1|300&4|286&5|288&4|294&4|326&3|1038&4|289&4|302&5|242&4
413&3|5&2|637&4|56&2|672&1|164&4|183&3|7&4|100&5|98&2|200&1|558&4;447&4|670&5|443&3|184&3;413&3|5&2|637&4|56&2|672&1|164&4|183&3|7&4|100&5|98&2|200&1|558&4|447&4|670&5|443&3|184&3
690&4|347&2|313&5|294&4|326&2|310&3|328&3|315&5|307&4|312&2|286&4|750&5;748&3|678&3|323&2|316&5;690&4|347&2|313&5|294&4|326&2|310&3|328&3|315&5|307&4|312&2|286&4|750&5|748&3|678&3|323&2|316&5
1017&4|475&2|325&2|118&3|295&3|742&3|288&3|121&4|508&3|9&4|100&5|244&3;930&2|286&3|370&4|978&2;1017&4|475&2|325&2|118&3|295&3|742&3|288&3|121&4|508&3|9&4|100&5|244&3|930&2|286&3|370&4|978&2
286&2|342&1|88&4|248&3|173&3|162&5|133&4|174&4|501&2|632&4|482&4|11&2;385&3|196&5|157&3|99&4;286&2|342&1|88&4|248&3|173&3|162&5|133&4|174&4|501&2|632&4|482&4|11&2|385&3|196&5|157&3|99&4
151&2|1157&5|9&2|123&3|243&3|289&2|261&1|546&5|402&3|742&2|1014&1|222&4;924&4|840&4|291&3|1277&1;151&2|1157&5|9&2|123&3|243&3|289&2|261&1|546&5|402&3|742&2|1014&1|222&4|924&4|840&4|291&3|1277&1
898&3|303&3|340&2|352&3|328&3|311&3|323&3|286&4|347&1|312&2|886&2|882&3;873&4|905&4|272&4|316&4;898&3|303&3|340&2|352&3|328&3|311&3|323&3|286&4|347&1|312&2|886&2|882&3|873&4|905&4|272&4|316&4
331&4|479&5|499&4|286&5|258&5|1545&4|306&4|127&4|690&3|289&3|174&5|307&3;427&5|191&3|484&3|50&4;331&4|479&5|499&4|286&5|258&5|1545&4|306&4|127&4|690&3|289&3|174&5|307&3|427&5|191&3|484&3|50&4
242&4|270&4|302&4|300&2|328&2|358&4|286&2|310&4|347&3|316&5|271&3|539&3;689&3|683&3|343&3|334&3;242&4|270&4|302&4|300&2|328&2|358&4|286&2|310&4|347&3|316&5|271&3|539&3|689&3|683&3|343&3|334&3
100&3|864&4|178&5|479&5|69&5|423&5|50&5|123&4|203&3|121&3|763&3|596&5;126&5|283&2|471&4|150&3;100&3|864&4|178&5|479&5|69&5|423&5|50&5|123&4|203&3|121&3|763&3|596&5|126&5|283&2|471&4|150&3
275&4|118&3|289&4|222&4|223&5|15&4|276&3|1047&3|292&5|457&2|1&4|742&4;127&4|257&4|237&4|300&4;275&4|118&3|289&4|222&4|223&5|15&4|276&3|1047&3|292&5|457&2|1&4|742&4|127&4|257&4|237&4|300&4
258&4|228&5|249&4|423&4|313&5|108&3|230&4|227&4|109&4|431&3|172&4|541&3;450&2|25&3|449&2|82&3;258&4|228&5|249&4|423&4|313&5|108&3|230&4|227&4|109&4|431&3|172&4|541&3|450&2|25&3|449&2|82&3
474&4|12&5|269&3|525&4|144&5|124&4|498&4|213&3|517&2|82&4|100&4|208&2;200&3|219&3|672&3|218&4;474&4|12&5|269&3|525&4|144&5|124&4|498&4|213&3|517&2|82&4|100&4|208&2|200&3|219&3|672&3|218&4
896&4|332&4|312&4|879&4|877&5|892&4|286&3|302&5|331&4|1024&4|886&4|754&4;344&3|305&3|316&4|307&4;896&4|332&4|312&4|879&4|877&5|892&4|286&3|302&5|331&4|1024&4|886&4|754&4|344&3|305&3|316&4|307&4
825&4|8&4|144&5|172&5|1051&2|193&4|92&5|892&2|456&2|160&5|261&3|128&4;591&5|302&5|339&4|754&2;825&4|8&4|144&5|172&5|1051&2|193&4|92&5|892&2|456&2|160&5|261&3|128&4|591&5|302&5|339&4|754&2
198&5|91&4|675&3|1065&3|432&3|742&4|1056&4|82&5|4&4|479&4|175&4|631&3;162&2|28&4|95&2|1177&3;198&5|91&4|675&3|1065&3|432&3|742&4|1056&4|82&5|4&4|479&4|175&4|631&3|162&2|28&4|95&2|1177&3
478&4|50&4|99&4|488&5|608&4|496&3|135&3|613&3|168&3|289&2|605&4|1116&4;490&4|430&3|23&4|607&4;478&4|50&4|99&4|488&5|608&4|496&3|135&3|613&3|168&3|289&2|605&4|1116&4|490&4|430&3|23&4|607&4
174&5|80&2|153&4|707&5|96&4|144&4|510&4|135&5|181&5|71&5|318&5|582&2;229&4|141&4|450&2|542&1;174&5|80&2|153&4|707&5|96&4|144&4|510&4|135&5|181&5|71&5|318&5|582&2|229&4|141&4|450&2|542&1
637&3|7&5|5&4|672&4|919&5|559&4|302&5|258&4|176&5|185&5|98&5|334&4;443&4|219&4|564&2|563&4;637&3|7&5|5&4|672&4|919&5|559&4|302&5|258&4|176&5|185&5|98&5|334&4|443&4|219&4|564&2|563&4
100&3|499&5|150&5|234&3|492&3|855&5|433&5|58&5|675&5|516&5|497&4|509&5;312&2|238&5|272&5|482&3;100&3|499&5|150&5|234&3|492&3|855&5|433&5|58&5|675&5|516&5|497&4|509&5|312&2|238&5|272&5|482&3
584&3|8&5|527&5|419&3|205&5|215&3|1203&3|646&4|191&4|178&4|99&3|192&4;972&3|62&3|230&3|403&3;584&3|8&5|527&5|419&3|205&5|215&3|1203&3|646&4|191&4|178&4|99&3|192&4|972&3|62&3|230&3|403&3
257&4|151&4|238&4|193&3|163&4|432&5|755&3|11&3|191&4|633&3|174&5|87&5;313&4|496&4|230&2|176&5;257&4|151&4|238&4|193&3|163&4|432&5|755&3|11&3|191&4|633&3|174&5|87&5|313&4|496&4|230&2|176&5
235&3|474&5|546&4|710&3|636&3|3&1|408&5|252&3|79&3|195&4|1&3|728&2;452&1|105&2|1208&2|77&2;235&3|474&5|546&4|710&3|636&3|3&1|408&5|252&3|79&3|195&4|1&3|728&2|452&1|105&2|1208&2|77&2
845&3|1197&4|109&4|275&3|985&4|294&4|126&3|676&4|1162&1|1009&2|460&3|282&4;313&5|13&4|25&4|760&3;845&3|1197&4|109&4|275&3|985&4|294&4|126&3|676&4|1162&1|1009&2|460&3|282&4|313&5|13&4|25&4|760&3
508&4|1258&3|241&4|101&3|790&2|53&4|484&5|657&4|1153&4|179&5|478&5|185&4;163&4|1030&1|514&3|25&4;508&4|1258&3|241&4|101&3|790&2|53&4|484&5|657&4|1153&4|179&5|478&5|185&4|163&4|1030&1|514&3|25&4
174&5|449&1|56&3|229&2|231&2|79&5|597&4|578&4|186&4|210&5|22&4|128&3;64&4|506&3|208&4|204&5;174&5|449&1|56&3|229&2|231&2|79&5|597&4|578&4|186&4|210&5|22&4|128&3|64&4|506&3|208&4|204&5
1047&2|756&1|294&3|596&3|116&4|240&4|411&4|15&1|242&2|276&4|288&3|315&3;253&4|515&5|1014&4|100&5;1047&2|756&1|294&3|596&3|116&4|240&4|411&4|15&1|242&2|276&4|288&3|315&3|253&4|515&5|1014&4|100&5
819&3|355&3|323&3|257&3|310&4|255&2|1014&1|535&3|1059&5|248&2|898&2|294&5;409&3|117&1|832&5|1&4;819&3|355&3|323&3|257&3|310&4|255&2|1014&1|535&3|1059&5|248&2|898&2|294&5|409&3|117&1|832&5|1&4
663&4|675&2|1101&4|729&4|300&4|498&5|47&3|414&5|633&5|213&5|211&5|494&4;111&4|761&3|549&4|1113&4;663&4|675&2|1101&4|729&4|300&4|498&5|47&3|414&5|633&5|213&5|211&5|494&4|111&4|761&3|549&4|1113&4
346&3|197&5|187&5|357&4|137&4|806&3|64&3|528&4|211&4|276&3|124&3|180&5;772&3|77&2|11&2|646&4;346&3|197&5|187&5|357&4|137&4|806&3|64&3|528&4|211&4|276&3|124&3|180&5|772&3|77&2|11&2|646&4
148&3|257&3|477&4|250&4|288&5|879&4|271&3|332&5|258&3|222&4|1049&2|150&5;628&4|993&3|282&1|50&5;148&3|257&3|477&4|250&4|288&5|879&4|271&3|332&5|258&3|222&4|1049&2|150&5|628&4|993&3|282&1|50&5
301&4|1617&1|300&3|245&2|311&1|989&1|751&2|683&1|327&4|1434&1|313&5|1105&1;988&1|1062&1|948&1|680&1;301&4|1617&1|300&3|245&2|311&1|989&1|751&2|683&1|327&4|1434&1|313&5|1105&1|988&1|1062&1|948&1|680&1
298&5|815&2|286&5|258&3|926&3|300&4|538&4|125&3|121&4|118&3|1190&3|546&3;255&3|111&4|476&3|1258&1;298&5|815&2|286&5|258&3|926&3|300&4|538&4|125&3|121&4|118&3|1190&3|546&3|255&3|111&4|476&3|1258&1
246&5|568&4|194&3|223&5|514&5|1063&1|1100&2|501&2|730&5|20&1|173&5|313&5;120&2|1089&1|70&4|255&4;246&5|568&4|194&3|223&5|514&5|1063&1|1100&2|501&2|730&5|20&1|173&5|313&5|120&2|1089&1|70&4|255&4
69&3|429&5|184&3|47&3|198&4|421&1|100&4|12&3|118&1|864&1|210&4|411&2;673&1|168&5|179&5|133&4;69&3|429&5|184&3|47&3|198&4|421&1|100&4|12&3|118&1|864&1|210&4|411&2|673&1|168&5|179&5|133&4
235&4|1119&3|204&3|68&5|732&3|222&5|433&5|785&4|111&5|737&3|790&1|201&2;961&5|1131&5|684&5|356&3;235&4|1119&3|204&3|68&5|732&3|222&5|433&5|785&4|111&5|737&3|790&1|201&2|961&5|1131&5|684&5|356&3
696&5|1014&2|3&1|268&4|285&4|282&4|591&3|405&3|237&5|751&2|25&4|471&4;9&5|150&5|276&5|476&5;696&5|1014&2|3&1|268&4|285&4|282&4|591&3|405&3|237&5|751&2|25&4|471&4|9&5|150&5|276&5|476&5
288&5|984&5|301&4|690&5|1025&5|938&5|300&5|333&5|361&5|292&5|242&5|326&5;8&2|173&3|294&4|168&4;288&5|984&5|301&4|690&5|1025&5|938&5|300&5|333&5|361&5|292&5|242&5|326&5|8&2|173&3|294&4|168&4
690&4|310&4|312&4|292&5|242&5|288&2|990&5|286&5|1024&5|898&5|324&5|294&1;289&1|299&5|899&5|245&4;690&4|310&4|312&4|292&5|242&5|288&2|990&5|286&5|1024&5|898&5|324&5|294&1|289&1|299&5|899&5|245&4
288&2|612&4|96&3|286&3|222&3|449&4|450&1|568&2|566&2|95&4|176&3|840&2;734&2|655&3|167&2|502&3;288&2|612&4|96&3|286&3|222&3|449&4|450&1|568&2|566&2|95&4|176&3|840&2|734&2|655&3|167&2|502&3
237&2|9&4|289&2|287&3|472&3|458&4|255&5|126&4|1142&3|508&4|476&3|535&2;405&2|841&2|411&3|756&4;237&2|9&4|289&2|287&3|472&3|458&4|255&5|126&4|1142&3|508&4|476&3|535&2|405&2|841&2|411&3|756&4
742&4|50&4|924&4|245&3|148&3|15&4|282&4|25&5|125&4|405&4|258&5|127&4;546&2|117&3|827&2|257&2;742&4|50&4|924&4|245&3|148&3|15&4|282&4|25&5|125&4|405&4|258&5|127&4|546&2|117&3|827&2|257&2
1012&5|508&5|293&5|237&5|288&5|628&5|3&3|123&3|742&4|1&2|815&3|411&3;546&3|15&4|763&5|118&4;1012&5|508&5|293&5|237&5|288&5|628&5|3&3|123&3|742&4|1&2|815&3|411&3|546&3|15&4|763&5|118&4
272&3|881&4|270&5|319&2|334&5|307&3|258&3|313&5|538&1|326&5|1243&5|682&4;1025&5|882&5|322&4|362&5;272&3|881&4|270&5|319&2|334&5|307&3|258&3|313&5|538&1|326&5|1243&5|682&4|1025&5|882&5|322&4|362&5
50&5|546&4|323&5|472&4|222&5|685&4|841&4|118&4|127&4|181&5|121&5|117&5;210&5|435&5|252&5|739&5;50&5|546&4|323&5|472&4|222&5|685&4|841&4|118&4|127&4|181&5|121&5|117&5|210&5|435&5|252&5|739&5
69&4|89&5|64&4|529&4|98&5|81&4|96&2|208&4|642&4|135&5|357&5|163&4;628&4|1639&4|1214&1|212&4;69&4|89&5|64&4|529&4|98&5|81&4|96&2|208&4|642&4|135&5|357&5|163&4|628&4|1639&4|1214&1|212&4
746&4|825&2|169&3|186&3|627&3|89&3|523&4|542&3|98&4|121&3|826&2|183&3;416&3|434&3|208&3|451&3;746&4|825&2|169&3|186&3|627&3|89&3|523&4|542&3|98&4|121&3|826&2|183&3|416&3|434&3|208&3|451&3
554&1|399&2|550&2|1009&4|642&2|274&3|195&3|197&2|222&2|88&1|95&3|930&3;603&5|402&4|398&3|178&5;554&1|399&2|550&2|1009&4|642&2|274&3|195&3|197&2|222&2|88&1|95&3|930&3|603&5|402&4|398&3|178&5
341&5|263&5|359&5|319&3|682&5|989&5|331&4|304&4|332&5|881&5|258&4|681&5;289&5|245&5|680&5|937&5;341&5|263&5|359&5|319&3|682&5|989&5|331&4|304&4|332&5|881&5|258&4|681&5|289&5|245&5|680&5|937&5
13&1|38&1|347&1|882&3|269&5|568&1|382&5|616&5|132&5|631&5|4&4|303&4;223&5|879&4|855&5|906&4;13&1|38&1|347&1|882&3|269&5|568&1|382&5|616&5|132&5|631&5|4&4|303&4|223&5|879&4|855&5|906&4
455&4|1017&5|405&4|248&4|117&4|257&5|689&3|9&4|1028&4|546&4|50&5|288&5;926&4|975&4|460&4|456&4;455&4|1017&5|405&4|248&4|117&4|257&5|689&3|9&4|1028&4|546&4|50&5|288&5|926&4|975&4|460&4|456&4
120&3|77&3|729&4|117&4|275&1|300&4|1008&4|619&3|208&4|386&3|30&4|483&4;383&3|122&3|1469&1|161&2;120&3|77&3|729&4|117&4|275&1|300&4|1008&4|619&3|208&4|386&3|30&4|483&4|383&3|122&3|1469&1|161&2
132&4|148&3|485&1|655&3|692&3|136&4|479&3|173&5|181&5|210&4|496&4|50&5;83&5|172&5|679&3|144&5;132&4|148&3|485&1|655&3|692&3|136&4|479&3|173&5|181&5|210&4|496&4|50&5|83&5|172&5|679&3|144&5
524&4|199&4|254&4|444&3|271&3|810&4|219&2|447&3|551&4|393&4|89&3|566&4;729&3|54&4|1228&3|31&4;524&4|199&4|254&4|444&3|271&3|810&4|219&2|447&3|551&4|393&4|89&3|566&4|729&3|54&4|1228&3|31&4
350&4|408&4|259&3|358&2|189&4|28&4|91&5|147&1|243&1|124&4|181&5|169&5;7&4|42&4|425&4|89&3;350&4|408&4|259&3|358&2|189&4|28&4|91&5|147&1|243&1|124&4|181&5|169&5|7&4|42&4|425&4|89&3
181&4|659&4|137&4|425&3|31&3|257&5|116&3|175&3|923&4|265&5|323&2|480&4;238&4|172&4|423&4|42&3;181&4|659&4|137&4|425&3|31&3|257&5|116&3|175&3|923&4|265&5|323&2|480&4|238&4|172&4|423&4|42&3
530&4|200&2|32&3|656&4|505&4|650&3|430&5|185&5|234&3|1523&4|506&5|175&5;1149&4|1118&3|240&1|1018&3;530&4|200&2|32&3|656&4|505&4|650&3|430&5|185&5|234&3|1523&4|506&5|175&5|1149&4|1118&3|240&1|1018&3
307&4|275&4|259&2|333&4|323&3|286&3|282&4|288&2|301&1|538&4|300&4|245&4;395&3|257&2|96&4|125&2;307&4|275&4|259&2|333&4|323&3|286&3|282&4|288&2|301&1|538&4|300&4|245&4|395&3|257&2|96&4|125&2
535&1|763&1|274&4|289&5|181&3|286&4|277&2|220&4|16&2|1009&5|596&3|237&3;717&1|934&2|225&3|1049&1;535&1|763&1|274&4|289&5|181&3|286&4|277&2|220&4|16&2|1009&5|596&3|237&3|717&1|934&2|225&3|1049&1
678&3|89&5|22&2|484&2|172&4|196&2|64&5|294&3|176&5|156&5|210&3|283&1;475&5|121&2|117&5|282&2;678&3|89&5|22&2|484&2|172&4|196&2|64&5|294&3|176&5|156&5|210&3|283&1|475&5|121&2|117&5|282&2
435&3|538&5|1346&4|259&2|289&5|882&3|243&4|427&4|989&2|689&1|688&2|172&3;9&5|740&5|15&4|25&4;435&3|538&5|1346&4|259&2|289&5|882&3|243&4|427&4|989&2|689&1|688&2|172&3|9&5|740&5|15&4|25&4
239&4|133&3|932&4|243&4|50&5|1032&3|734&3|94&3|259&5|988&3|1164&3|949&3;62&4|82&4|463&3|140&4;239&4|133&3|932&4|243&4|50&5|1032&3|734&3|94&3|259&5|988&3|1164&3|949&3|62&4|82&4|463&3|140&4
286&2|325&1|268&4|327&3|475&5|1084&5|324&5|9&4|100&2|547&4|288&4|508&5;544&4|823&3|123&4|1008&5;286&2|325&1|268&4|327&3|475&5|1084&5|324&5|9&4|100&2|547&4|288&4|508&5|544&4|823&3|123&4|1008&5
60&4|466&2|168&5|175&3|317&4|431&3|427&4|86&4|462&3|492&3|283&4|204&5;56&4|23&5|429&5|19&3;60&4|466&2|168&5|175&3|317&4|431&3|427&4|86&4|462&3|492&3|283&4|204&5|56&4|23&5|429&5|19&3
693&3|293&4|135&5|772&1|186&4|474&4|258&2|262&2|435&3|480&5|50&4|137&3;53&4|525&4|229&2|271&2;693&3|293&4|135&5|772&1|186&4|474&4|258&2|262&2|435&3|480&5|50&4|137&3|53&4|525&4|229&2|271&2
336&1|751&4|258&2|259&5|334&1|328&5|322&3|323&2|690&4|538&5|749&3|272&5;271&3|689&4|338&3|688&4;336&1|751&4|258&2|259&5|334&1|328&5|322&3|323&2|690&4|538&5|749&3|272&5|271&3|689&4|338&3|688&4
456&3|833&4|710&3|15&4|405&4|409&4|825&1|282&5|105&3|471&4|50&5|121&4;496&4|11&3|258&5|79&5;456&3|833&4|710&3|15&4|405&4|409&4|825&1|282&5|105&3|471&4|50&5|121&4|496&4|11&3|258&5|79&5
195&4|200&1|50&4|708&3|133&4|754&4|69&5|82&4|300&4|196&5|203&3|684&5;88&5|216&5|238&5|4&5;195&4|200&1|50&4|708&3|133&4|754&4|69&5|82&4|300&4|196&5|203&3|684&5|88&5|216&5|238&5|4&5
276&2|249&2|1137&4|129&2|1086&4|181&4|285&5|321&4|251&5|351&2|898&3|14&3;271&2|242&4|688&1|258&2;276&2|249&2|1137&4|129&2|1086&4|181&4|285&5|321&4|251&5|351&2|898&3|14&3|271&2|242&4|688&1|258&2
423&5|193&5|215&5|474&4|199&4|477&4|178&5|125&3|1346&3|530&5|203&3|174&5;473&3|195&4|625&4|186&4;423&5|193&5|215&5|474&4|199&4|477&4|178&5|125&3|1346&3|530&5|203&3|174&5|473&3|195&4|625&4|186&4
294&1|187&4|735&3|423&4|483&5|7&2|176&4|1&4|71&4|477&2|9&3|98&5;705&3|582&4|673&4|427&5;294&1|187&4|735&3|423&4|483&5|7&2|176&4|1&4|71&4|477&2|9&3|98&5|705&3|582&4|673&4|427&5
283&4|885&2|100&4|13&5|275&5|748&3|988&3|284&3|294&4|328&4|117&3|1&4;1014&3|151&5|742&4|597&2;283&4|885&2|100&4|13&5|275&5|748&3|988&3|284&3|294&4|328&4|117&3|1&4|1014&3|151&5|742&4|597&2
289&4|306&4|304&3|286&3|321&4|262&5|322&2|292&4|269&4|874&3|307&4|268&4;301&4|323&2|995&3|1022&3;289&4|306&4|304&3|286&3|321&4|262&5|322&2|292&4|269&4|874&3|307&4|268&4|301&4|323&2|995&3|1022&3
315&5|1176&1|873&3|245&1|1175&1|262&1|359&1|678&1|682&3|294&2|310&5|900&1;360&1|1432&1|340&3|691&1;315&5|1176&1|873&3|245&1|1175&1|262&1|359&1|678&1|682&3|294&2|310&5|900&1|360&1|1432&1|340&3|691&1
127&5|173&5|59&5|518&5|171&5|89&5|268&3|1&2|657&5|318&4|188&5|183&4;180&4|271&2|923&3|269&4;127&5|173&5|59&5|518&5|171&5|89&5|268&3|1&2|657&5|318&4|188&5|183&4|180&4|271&2|923&3|269&4
62&2|705&2|550&3|519&4|624&2|628&3|549&3|405&2|318&5|570&3|228&1|209&3;90&3|1183&2|623&1|744&3;62&2|705&2|550&3|519&4|624&2|628&3|549&3|405&2|318&5|570&3|228&1|209&3|90&3|1183&2|623&1|744&3
243&1|687&2|289&2|292&3|259&4|288&3|268&4|322&4|748&1|286&2|321&2|304&3;991&3|245&2|989&2|678&3;243&1|687&2|289&2|292&3|259&4|288&3|268&4|322&4|748&1|286&2|321&2|304&3|991&3|245&2|989&2|678&3
270&4|748&4|333&4|245&4|300&4|327&5|750&5|751&3|262&5|286&4|332&4|294&5;264&5|313&5|872&5|346&5;270&4|748&4|333&4|245&4|300&4|327&5|750&5|751&3|262&5|286&4|332&4|294&5|264&5|313&5|872&5|346&5
302&5|1073&2|77&4|566&4|5&4|218&3|300&4|185&5|603&4|183&5|684&4|233&4;761&3|583&2|44&3|356&4;302&5|1073&2|77&4|566&4|5&4|218&3|300&4|185&5|603&4|183&5|684&4|233&4|761&3|583&2|44&3|356&4
65&4|235&3|484&4|205&4|208&5|821&3|1&5|173&4|121&4|735&4|956&3|114&4;105&3|72&3|755&3|49&3;65&4|235&3|484&4|205&4|208&5|821&3|1&5|173&4|121&4|735&4|956&3|114&4|105&3|72&3|755&3|49&3
115&5|237&4|216&5|423&4|1135&4|7&5|740&4|60&5|4&4|186&5|173&5|624&5;1297&4|157&5|196&5|497&5;115&5|237&4|216&5|423&4|1135&4|7&5|740&4|60&5|4&4|186&5|173&5|624&5|1297&4|157&5|196&5|497&5
813&4|124&5|14&4|289&3|9&5|1137&3|476&4|301&4|121&2|1171&3|286&4|319&4;924&1|284&3|277&1|13&4;813&4|124&5|14&4|289&3|9&5|1137&3|476&4|301&4|121&2|1171&3|286&4|319&4|924&1|284&3|277&1|13&4
323&5|322&5|984&5|288&3|346&1|300&5|347&5|313&5|687&1|328&5|315&3|751&4;343&4|243&3|894&4|688&3;323&5|322&5|984&5|288&3|346&1|300&5|347&5|313&5|687&1|328&5|315&3|751&4|343&4|243&3|894&4|688&3
823&4|982&4|199&5|257&5|568&3|174&5|526&4|215&4|198&5|10&5|658&5|1009&4;11&4|479&4|737&4|59&5;823&4|982&4|199&5|257&5|568&3|174&5|526&4|215&4|198&5|10&5|658&5|1009&4|11&4|479&4|737&4|59&5
109&5|252&3|716&5|237&5|213&5|86&4|511&5|1260&5|322&4|315&5|40&4|825&3;931&1|1262&3|338&1|917&4;109&5|252&3|716&5|237&5|213&5|86&4|511&5|1260&5|322&4|315&5|40&4|825&3|931&1|1262&3|338&1|917&4
129&2|708&3|631&4|77&3|162&4|1368&2|423&3|458&4|116&4|14&3|660&4|26&3;317&5|86&5|191&5|285&5;129&2|708&3|631&4|77&3|162&4|1368&2|423&3|458&4|116&4|14&3|660&4|26&3|317&5|86&5|191&5|285&5
302&4|879&4|873&3|288&4|322&3|326&2|880&5|340&1|334&3|332&3|258&3|292&4;330&1|688&3|887&2|1025&4;302&4|879&4|873&3|288&4|322&3|326&2|880&5|340&1|334&3|332&3|258&3|292&4|330&1|688&3|887&2|1025&4
323&3|304&2|328&3|1253&2|65&2|306&3|250&4|253&3|760&3|1226&2|315&3|269&3;905&2|902&2|484&4|896&2;323&3|304&2|328&3|1253&2|65&2|306&3|250&4|253&3|760&3|1226&2|315&3|269&3|905&2|902&2|484&4|896&2
736&4|582&2|10&3|937&4|70&4|584&5|170&5|292&4|305&4|319&5|321&1|462&4;20&4|1227&4|26&3|1009&5;736&4|582&2|10&3|937&4|70&4|584&5|170&5|292&4|305&4|319&5|321&1|462&4|20&4|1227&4|26&3|1009&5
255&4|880&5|323&1|25&3|294&3|269&3|476&3|813&2|257&4|301&5|327&1|289&4;237&5|411&4|412&4|1047&1;255&4|880&5|323&1|25&3|294&3|269&3|476&3|813&2|257&4|301&5|327&1|289&4|237&5|411&4|412&4|1047&1
100&4|289&4|14&4|325&2|306&4|305&4|276&4|20&3|125&3|302&5|275&4|311&4;191&4|197&4|357&5|521&5;100&4|289&4|14&4|325&2|306&4|305&4|276&4|20&3|125&3|302&5|275&4|311&4|191&4|197&4|357&5|521&5
615&4|60&3|386&2|213&4|921&3|109&3|877&3|143&5|1084&4|751&4|366&3|313&5;298&4|55&4|1418&4|14&4;615&4|60&3|386&2|213&4|921&3|109&3|877&3|143&5|1084&4|751&4|366&3|313&5|298&4|55&4|1418&4|14&4
64&5|523&4|306&5|45&5|48&4|615&4|168&3|127&4|508&4|116&4|787&3|70&4;4&4|856&4|1028&3|381&4;64&5|523&4|306&5|45&5|48&4|615&4|168&3|127&4|508&4|116&4|787&3|70&4|4&4|856&4|1028&3|381&4
327&4|294&5|286&5|340&5|271&4|309&5|269&3|678&2|245&3|358&1|307&3|258&5;748&4|39&1|12&5|644&3;327&4|294&5|286&5|340&5|271&4|309&5|269&3|678&2|245&3|358&1|307&3|258&5|748&4|39&1|12&5|644&3
174&5|1315&2|562&5|1016&5|105&2|840&4|258&5|595&4|210&5|70&2|123&4|409&3;38&2|342&4|53&3|234&5;174&5|1315&2|562&5|1016&5|105&2|840&4|258&5|595&4|210&5|70&2|123&4|409&3|38&2|342&4|53&3|234&5
197&3|97&4|540&2|1228&2|657&3|222&3|298&3|121&4|168&5|403&3|268&4|145&4;725&3|722&3|67&3|151&3;197&3|97&4|540&2|1228&2|657&3|222&3|298&3|121&4|168&5|403&3|268&4|145&4|725&3|722&3|67&3|151&3
307&4|245&3|243&2|873&2|294&4|748&3|326&4|681&2|286&3|876&3|334&2|678&2;322&3|181&3|50&3|471&4;307&4|245&3|243&2|873&2|294&4|748&3|326&4|681&2|286&3|876&3|334&2|678&2|322&3|181&3|50&3|471&4
